robot_id,task_type,algorithm,start_time,end_time,duration_min,error_occurred,energy_kwh
R0072,place,A,2025-03-06T20:45:00,2025-03-06T21:09:26.435965,24.44,0,12.64
R0033,move,A,2025-02-23T02:31:00,2025-02-23T03:02:23.712388,31.4,0,14.02
R0098,place,A,2025-03-09T08:47:00,2025-03-09T09:14:05.736560,27.1,0,10.95
R0049,place,A,2025-01-11T20:06:00,2025-01-11T20:22:56.235296,16.94,0,13.9
R0047,move,B,2025-01-31T04:38:00,2025-01-31T05:04:04.427563,26.07,0,9.72
R0030,place,A,2025-02-09T04:34:00,2025-02-09T05:00:51.157512,26.85,0,13.2
R0063,pick,B,2025-01-07T14:31:00,2025-01-07T14:59:32.999175,28.55,0,10.17
R0078,move,A,2025-01-29T17:00:00,2025-01-29T17:26:59.923845,27.0,0,13.89
R0088,place,B,2025-01-22T07:39:00,2025-01-22T08:02:24.180907,23.4,0,10.88
R0062,place,A,2025-03-08T21:09:00,2025-03-08T21:37:51.164864,28.85,0,12.78
R0043,pick,A,2025-01-26T09:41:00,2025-01-26T10:24:53.493912,43.89,0,14.39
R0054,move,B,2025-02-05T02:22:00,2025-02-05T02:50:59.032345,28.98,0,12.96
R0075,move,A,2025-01-21T17:20:00,2025-01-21T17:44:57.274397,24.95,0,8.83
R0017,pick,B,2025-02-25T08:57:00,2025-02-25T09:18:56.396914,21.94,0,9.44
R0096,move,A,2025-02-24T13:56:00,2025-02-24T14:28:54.636838,32.91,0,13.78
R0098,pick,B,2025-01-02T10:03:00,2025-01-02T10:30:04.065210,27.07,0,9.95
R0076,place,B,2025-02-26T13:06:00,2025-02-26T13:27:12.798612,21.21,0,13.4
R0084,move,A,2025-01-12T12:53:00,2025-01-12T13:28:53.914903,35.9,0,10.2
R0017,move,B,2025-01-03T15:47:00,2025-01-03T16:10:19.785933,23.33,0,11.05
R0065,move,B,2025-01-14T17:31:00,2025-01-14T18:05:43.767248,34.73,0,11.88
R0029,pick,B,2025-02-08T16:30:00,2025-02-08T16:56:12.367635,26.21,0,11.08
R0019,place,A,2025-02-07T12:10:00,2025-02-07T12:32:54.374862,22.91,0,14.08
R0016,pick,B,2025-02-11T04:58:00,2025-02-11T05:23:35.707558,25.6,0,8.21
R0031,move,A,2025-03-05T13:51:00,2025-03-05T14:19:56.351573,28.94,0,11.15
R0032,move,B,2025-01-31T00:12:00,2025-01-31T00:42:15.391050,30.26,0,13.52
R0072,move,B,2025-01-04T10:12:00,2025-01-04T10:46:10.402776,34.17,0,11.55
R0051,pick,A,2025-02-17T21:25:00,2025-02-17T21:53:43.010945,28.72,0,11.26
R0004,move,B,2025-03-10T13:39:00,2025-03-10T13:55:03.102467,16.05,0,11.89
R0086,place,A,2025-01-09T11:52:00,2025-01-09T12:24:15.880898,32.26,0,11.67
R0088,place,B,2025-01-23T22:09:00,2025-01-23T22:32:45.374662,23.76,1,14.01
R0010,place,B,2025-02-03T09:27:00,2025-02-03T09:54:54.991283,27.92,0,7.85
R0086,place,A,2025-03-04T16:26:00,2025-03-04T16:56:30.704305,30.51,0,11.13
R0011,pick,A,2025-02-09T00:46:00,2025-02-09T01:18:23.326230,32.39,0,11.48
R0004,move,A,2025-01-01T02:01:00,2025-01-01T02:32:41.946289,31.7,0,11.99
R0044,pick,B,2025-03-08T12:44:00,2025-03-08T13:08:30.659251,24.51,0,12.75
R0088,pick,A,2025-01-10T23:48:00,2025-01-11T00:25:01.561592,37.03,0,14.78
R0019,place,A,2025-01-22T21:02:00,2025-01-22T21:29:31.970255,27.53,0,13.85
R0079,pick,A,2025-03-01T05:35:00,2025-03-01T06:13:31.981486,38.53,0,13.75
R0060,move,B,2025-01-06T12:57:00,2025-01-06T13:27:55.253418,30.92,0,8.75
R0068,pick,B,2025-02-20T22:16:00,2025-02-20T22:46:47.548018,30.79,0,10.88
R0085,pick,A,2025-01-09T21:01:00,2025-01-09T21:29:12.976492,28.22,0,13.11
R0052,place,B,2025-02-05T11:46:00,2025-02-05T12:20:08.249362,34.14,0,16.28
R0065,place,A,2025-03-01T06:11:00,2025-03-01T06:33:47.987566,22.8,0,14.38
R0070,place,B,2025-01-27T06:00:00,2025-01-27T06:30:46.763028,30.78,0,13.63
R0088,move,A,2025-02-08T10:33:00,2025-02-08T11:04:07.886481,31.13,0,13.69
R0007,place,A,2025-01-03T11:52:00,2025-01-03T12:22:52.449904,30.87,0,9.57
R0081,place,B,2025-01-21T22:10:00,2025-01-21T22:41:18.315288,31.31,0,9.29
R0072,place,A,2025-01-23T23:30:00,2025-01-24T00:03:50.993208,33.85,0,14.54
R0026,place,B,2025-02-23T04:16:00,2025-02-23T04:40:05.736906,24.1,0,11.49
R0060,move,A,2025-01-29T01:17:00,2025-01-29T01:51:23.602064,34.39,0,11.52
R0009,move,B,2025-01-06T02:53:00,2025-01-06T03:33:18.293983,40.3,0,11.39
R0097,pick,A,2025-02-12T19:45:00,2025-02-12T20:10:11.095312,25.18,0,13.95
R0075,move,B,2025-01-16T23:53:00,2025-01-17T00:20:26.484255,27.44,0,12.68
R0085,pick,B,2025-02-06T07:56:00,2025-02-06T08:21:57.835197,25.96,0,12.75
R0068,pick,B,2025-01-01T15:33:00,2025-01-01T15:56:49.967413,23.83,0,10.17
R0022,move,B,2025-01-13T23:00:00,2025-01-13T23:30:50.120233,30.84,0,14.73
R0092,pick,B,2025-01-12T16:33:00,2025-01-12T17:05:45.504347,32.76,0,11.3
R0003,pick,B,2025-03-05T00:30:00,2025-03-05T00:53:41.067814,23.68,0,13.96
R0084,move,B,2025-02-04T03:28:00,2025-02-04T03:57:22.201262,29.37,0,11.71
R0006,move,B,2025-02-28T18:29:00,2025-02-28T19:03:28.086209,34.47,0,11.21
R0002,pick,B,2025-01-15T08:41:00,2025-01-15T09:10:02.719963,29.05,0,11.55
R0011,move,A,2025-01-12T22:58:00,2025-01-12T23:28:49.506839,30.83,0,10.29
R0040,place,A,2025-02-16T00:39:00,2025-02-16T01:00:03.451049,21.06,0,12.71
R0027,pick,A,2025-01-01T23:55:00,2025-01-02T00:20:32.063918,25.53,0,11.33
R0073,pick,B,2025-02-04T10:10:00,2025-02-04T10:40:28.385613,30.47,0,8.66
R0078,pick,A,2025-02-26T16:49:00,2025-02-26T17:30:56.710787,41.95,0,15.69
R0074,place,B,2025-01-17T09:02:00,2025-01-17T09:30:04.088685,28.07,0,12.08
R0090,pick,B,2025-02-23T10:16:00,2025-02-23T10:41:59.985339,26.0,0,7.86
R0018,place,A,2025-02-22T01:34:00,2025-02-22T02:00:08.454277,26.14,0,15.32
R0078,move,A,2025-01-15T00:04:00,2025-01-15T00:35:35.330110,31.59,0,8.78
R0045,pick,B,2025-01-11T12:25:00,2025-01-11T12:54:41.869992,29.7,0,14.5
R0095,place,A,2025-02-17T15:18:00,2025-02-17T15:44:20.777579,26.35,0,9.44
R0078,place,A,2025-01-19T06:41:00,2025-01-19T07:09:48.782412,28.81,0,15.74
R0069,pick,A,2025-02-03T04:52:00,2025-02-03T05:15:31.517258,23.53,0,11.79
R0032,move,A,2025-02-20T03:54:00,2025-02-20T04:31:42.920296,37.72,0,14.65
R0017,move,A,2025-01-13T01:53:00,2025-01-13T02:23:17.552671,30.29,0,16.7
R0001,pick,B,2025-02-18T06:12:00,2025-02-18T06:39:05.336468,27.09,0,11.32
R0053,place,B,2025-01-24T22:37:00,2025-01-24T22:56:27.708215,19.46,0,13.76
R0075,place,A,2025-01-26T08:46:00,2025-01-26T09:19:26.054554,33.43,0,12.14
R0071,place,B,2025-02-18T02:07:00,2025-02-18T02:32:48.663153,25.81,0,11.62
R0070,move,B,2025-02-13T01:17:00,2025-02-13T01:42:11.995965,25.2,0,10.49
R0022,place,B,2025-01-28T13:06:00,2025-01-28T13:35:37.743756,29.63,0,12.36
R0024,pick,A,2025-01-20T16:41:00,2025-01-20T17:13:45.521103,32.76,0,10.58
R0085,pick,B,2025-02-16T08:55:00,2025-02-16T09:14:57.328665,19.96,0,8.76
R0055,pick,A,2025-02-08T02:47:00,2025-02-08T03:24:45.857933,37.76,0,11.12
R0018,place,A,2025-02-05T06:55:00,2025-02-05T07:25:03.643953,30.06,0,13.86
R0054,place,A,2025-01-19T22:12:00,2025-01-19T22:40:48.232561,28.8,0,13.71
R0046,place,B,2025-02-24T06:56:00,2025-02-24T07:22:46.819075,26.78,0,9.97
R0083,pick,B,2025-02-10T11:13:00,2025-02-10T11:49:36.325763,36.61,0,13.33
R0035,move,A,2025-03-09T22:24:00,2025-03-09T23:00:01.476877,36.02,0,9.61
R0044,place,B,2025-01-03T14:52:00,2025-01-03T15:16:51.230424,24.85,0,11.18
R0080,move,A,2025-01-28T16:00:00,2025-01-28T16:28:27.272247,28.45,0,13.61
R0018,place,A,2025-01-17T04:11:00,2025-01-17T04:44:04.152402,33.07,0,14.72
R0019,pick,A,2025-02-28T03:29:00,2025-02-28T03:56:50.008978,27.83,0,12.41
R0066,place,B,2025-01-27T17:40:00,2025-01-27T18:13:11.675671,33.19,0,10.25
R0010,pick,B,2025-01-18T18:51:00,2025-01-18T19:16:00.658590,25.01,0,13.92
R0045,place,B,2025-02-12T14:06:00,2025-02-12T14:24:49.989498,18.83,0,14.34
R0025,pick,A,2025-01-30T20:42:00,2025-01-30T21:10:29.302727,28.49,0,11.99
R0086,pick,A,2025-01-06T20:43:00,2025-01-06T21:19:21.341468,36.36,0,13.54
R0063,pick,B,2025-02-11T17:33:00,2025-02-11T17:54:29.685307,21.49,0,9.51
R0012,move,A,2025-01-03T01:41:00,2025-01-03T02:11:20.895799,30.35,1,13.97
R0051,place,A,2025-02-23T18:43:00,2025-02-23T19:15:22.088216,32.37,0,12.11
R0035,pick,B,2025-02-01T05:35:00,2025-02-01T06:01:03.375606,26.06,0,14.92
R0075,place,B,2025-01-10T07:48:00,2025-01-10T08:15:30.048377,27.5,0,13.15
R0063,move,A,2025-01-03T23:45:00,2025-01-04T00:14:12.682813,29.21,0,9.29
R0062,move,B,2025-02-16T20:28:00,2025-02-16T20:47:23.569240,19.39,0,11.92
R0044,move,B,2025-01-11T23:37:00,2025-01-12T00:08:20.330014,31.34,0,14.15
R0008,place,B,2025-02-10T19:23:00,2025-02-10T19:50:40.124999,27.67,0,10.64
R0074,place,B,2025-01-17T20:06:00,2025-01-17T20:35:19.778932,29.33,0,9.01
R0057,place,B,2025-01-30T19:31:00,2025-01-30T20:00:14.421493,29.24,0,11.76
R0040,pick,A,2025-02-05T10:32:00,2025-02-05T11:01:27.411401,29.46,0,11.89
R0055,place,B,2025-01-01T17:12:00,2025-01-01T17:46:49.382997,34.82,0,11.82
R0062,pick,B,2025-01-28T12:24:00,2025-01-28T12:50:35.483599,26.59,0,8.0
R0082,pick,B,2025-01-12T17:02:00,2025-01-12T17:23:50.480669,21.84,0,12.27
R0064,place,B,2025-02-19T16:17:00,2025-02-19T16:41:16.468869,24.27,0,10.59
R0007,move,B,2025-02-12T16:04:00,2025-02-12T16:32:31.012596,28.52,0,14.3
R0059,pick,B,2025-01-31T09:04:00,2025-01-31T09:36:37.176559,32.62,0,11.53
R0016,pick,A,2025-02-04T23:32:00,2025-02-05T00:09:26.713552,37.45,0,13.76
R0096,pick,A,2025-02-18T08:43:00,2025-02-18T09:04:20.738069,21.35,0,14.89
R0042,pick,B,2025-02-10T17:32:00,2025-02-10T18:00:54.036293,28.9,0,6.86
R0051,move,A,2025-01-01T13:11:00,2025-01-01T13:45:54.464213,34.91,0,12.66
R0074,move,A,2025-01-24T15:18:00,2025-01-24T15:47:55.584522,29.93,0,13.59
R0098,place,A,2025-01-12T00:27:00,2025-01-12T00:56:58.140258,29.97,0,12.81
R0068,pick,B,2025-03-02T23:49:00,2025-03-03T00:16:26.813947,27.45,0,11.05
R0091,place,A,2025-01-10T13:05:00,2025-01-10T13:29:29.624429,24.49,0,12.98
R0016,pick,B,2025-01-13T16:39:00,2025-01-13T17:16:14.875004,37.25,0,10.56
R0099,place,A,2025-01-26T08:58:00,2025-01-26T09:23:55.350278,25.92,0,10.88
R0034,place,A,2025-01-02T08:20:00,2025-01-02T08:42:49.773339,22.83,0,11.62
R0089,move,B,2025-02-09T17:26:00,2025-02-09T17:53:32.473632,27.54,0,11.28
R0035,place,B,2025-03-02T12:40:00,2025-03-02T13:11:49.865651,31.83,0,9.96
R0045,pick,A,2025-02-14T06:05:00,2025-02-14T06:32:15.816049,27.26,0,9.54
R0096,place,B,2025-01-08T12:31:00,2025-01-08T12:56:10.838471,25.18,0,6.82
R0054,pick,A,2025-03-01T11:41:00,2025-03-01T12:15:15.420628,34.26,0,10.02
R0100,pick,B,2025-01-08T02:06:00,2025-01-08T02:29:37.487492,23.62,0,11.36
R0071,place,B,2025-02-23T05:37:00,2025-02-23T06:01:21.163421,24.35,0,9.39
R0039,pick,A,2025-03-04T18:04:00,2025-03-04T18:28:41.621210,24.69,0,10.69
R0061,pick,A,2025-03-08T12:14:00,2025-03-08T12:45:05.466820,31.09,0,13.82
R0013,pick,B,2025-02-07T19:01:00,2025-02-07T19:25:04.026988,24.07,0,11.19
R0030,move,B,2025-01-24T23:00:00,2025-01-24T23:26:01.063769,26.02,0,14.36
R0027,move,A,2025-01-14T19:43:00,2025-01-14T20:19:58.719581,36.98,0,9.38
R0025,place,A,2025-02-11T16:23:00,2025-02-11T16:53:08.307279,30.14,0,12.25
R0093,place,A,2025-01-11T15:15:00,2025-01-11T15:42:42.567029,27.71,0,10.75
R0057,place,A,2025-01-02T06:49:00,2025-01-02T07:14:51.424869,25.86,0,10.91
R0062,pick,A,2025-02-12T09:57:00,2025-02-12T10:14:29.172144,17.49,1,13.37
R0079,move,A,2025-03-08T21:15:00,2025-03-08T21:46:57.075981,31.95,0,11.83
R0097,move,B,2025-02-28T23:20:00,2025-02-28T23:44:44.519515,24.74,0,10.13
R0039,pick,B,2025-02-18T02:57:00,2025-02-18T03:34:11.696532,37.19,0,14.44
R0087,pick,B,2025-03-05T10:31:00,2025-03-05T10:56:27.569609,25.46,0,9.2
R0050,pick,B,2025-02-15T11:03:00,2025-02-15T11:28:56.172795,25.94,0,10.59
R0018,pick,A,2025-01-05T14:11:00,2025-01-05T14:35:18.257481,24.3,0,12.54
R0078,place,B,2025-03-09T11:45:00,2025-03-09T12:12:19.891121,27.33,0,10.39
R0016,move,A,2025-03-03T17:39:00,2025-03-03T18:05:59.409396,26.99,0,13.52
R0035,pick,B,2025-02-06T04:07:00,2025-02-06T04:31:44.698448,24.74,0,16.07
R0096,move,A,2025-01-26T08:17:00,2025-01-26T08:47:50.918785,30.85,0,12.18
R0066,pick,A,2025-03-05T10:51:00,2025-03-05T11:23:26.413224,32.44,0,15.16
R0083,place,A,2025-02-08T06:19:00,2025-02-08T06:46:01.645184,27.03,0,13.18
R0054,place,A,2025-01-14T04:20:00,2025-01-14T04:52:43.044946,32.72,0,14.07
R0042,move,A,2025-02-26T22:38:00,2025-02-26T23:06:38.939004,28.65,0,13.9
R0010,place,A,2025-01-17T12:10:00,2025-01-17T12:36:37.076094,26.62,0,7.54
R0024,move,B,2025-02-14T18:54:00,2025-02-14T19:14:53.331977,20.89,0,11.23
R0077,pick,A,2025-01-23T21:25:00,2025-01-23T21:59:27.723246,34.46,0,12.19
R0063,pick,A,2025-02-27T10:02:00,2025-02-27T10:32:49.558314,30.83,0,13.14
R0053,move,A,2025-01-07T22:06:00,2025-01-07T22:38:32.813435,32.55,0,14.49
R0055,move,B,2025-02-17T22:48:00,2025-02-17T23:13:48.403344,25.81,0,12.01
R0060,pick,A,2025-02-20T17:34:00,2025-02-20T18:11:32.931394,37.55,0,12.8
R0037,move,A,2025-01-27T07:03:00,2025-01-27T07:39:26.092489,36.43,0,11.11
R0083,move,A,2025-02-28T15:02:00,2025-02-28T15:36:49.155096,34.82,0,13.95
R0065,place,B,2025-01-27T21:02:00,2025-01-27T21:22:39.301119,20.66,0,11.76
R0006,pick,A,2025-02-25T16:59:00,2025-02-25T17:29:51.178261,30.85,0,13.67
R0001,move,A,2025-01-12T02:21:00,2025-01-12T02:51:54.159253,30.9,0,17.29
R0001,move,A,2025-03-11T01:51:00,2025-03-11T02:29:54.649086,38.91,0,13.18
R0089,pick,B,2025-01-10T16:05:00,2025-01-10T16:34:07.565862,29.13,0,8.92
R0096,place,A,2025-03-09T08:16:00,2025-03-09T08:46:55.165006,30.92,0,12.2
R0076,move,A,2025-01-12T12:20:00,2025-01-12T13:02:41.607331,42.69,0,13.05
R0016,place,A,2025-02-15T02:01:00,2025-02-15T02:36:21.298940,35.35,0,10.83
R0037,move,A,2025-02-28T13:15:00,2025-02-28T13:49:15.673947,34.26,0,7.36
R0011,move,A,2025-02-10T08:43:00,2025-02-10T09:19:21.037664,36.35,0,10.36
R0016,move,A,2025-02-20T05:32:00,2025-02-20T05:56:22.374298,24.37,0,11.7
R0067,pick,A,2025-01-02T20:13:00,2025-01-02T20:47:01.331733,34.02,0,11.69
R0021,pick,B,2025-01-04T23:04:00,2025-01-04T23:27:25.358114,23.42,0,12.23
R0013,pick,A,2025-01-31T17:58:00,2025-01-31T18:24:00.266829,26.0,1,11.67
R0093,pick,B,2025-03-02T02:56:00,2025-03-02T03:20:57.057123,24.95,0,11.5
R0055,place,A,2025-01-20T11:02:00,2025-01-20T11:31:25.546794,29.43,0,12.31
R0097,move,A,2025-02-22T06:15:00,2025-02-22T06:57:50.978052,42.85,0,9.79
R0031,pick,B,2025-02-25T10:25:00,2025-02-25T10:59:14.917213,34.25,0,5.88
R0047,pick,A,2025-02-11T19:56:00,2025-02-11T20:20:06.741490,24.11,0,12.41
R0031,place,B,2025-02-10T21:11:00,2025-02-10T21:38:19.532949,27.33,0,12.26
R0055,pick,B,2025-03-01T20:50:00,2025-03-01T21:16:22.289438,26.37,0,11.06
R0004,move,B,2025-01-22T03:58:00,2025-01-22T04:25:35.910283,27.6,0,11.26
R0010,place,A,2025-01-13T21:54:00,2025-01-13T22:24:29.623733,30.49,0,11.74
R0044,place,B,2025-01-31T03:36:00,2025-01-31T04:02:25.315987,26.42,0,10.74
R0023,place,B,2025-02-01T14:21:00,2025-02-01T14:50:03.356041,29.06,0,11.71
R0028,move,B,2025-03-11T09:41:00,2025-03-11T10:06:02.547004,25.04,0,9.33
R0068,move,A,2025-01-22T11:26:00,2025-01-22T11:47:39.066248,21.65,0,15.53
R0084,move,B,2025-02-22T15:20:00,2025-02-22T15:42:24.794668,22.41,0,9.57
R0064,pick,B,2025-02-07T00:49:00,2025-02-07T01:20:24.214924,31.4,0,8.37
R0033,place,B,2025-03-04T23:24:00,2025-03-04T23:44:06.563258,20.11,0,10.11
R0036,move,B,2025-01-19T20:11:00,2025-01-19T20:43:22.392126,32.37,0,11.14
R0007,place,A,2025-01-16T01:57:00,2025-01-16T02:37:46.571862,40.78,0,13.34
R0059,place,A,2025-01-13T12:42:00,2025-01-13T13:05:33.465786,23.56,0,12.2
R0037,place,A,2025-01-12T03:06:00,2025-01-12T03:27:51.122104,21.85,0,13.1
R0007,move,B,2025-01-10T00:46:00,2025-01-10T01:11:53.330116,25.89,0,12.25
R0003,pick,A,2025-01-04T03:35:00,2025-01-04T04:13:06.160034,38.1,0,15.14
R0044,pick,A,2025-02-03T05:09:00,2025-02-03T05:38:12.569553,29.21,0,13.61
R0001,pick,B,2025-03-07T05:24:00,2025-03-07T05:50:26.036467,26.43,0,11.6
R0065,place,A,2025-01-21T16:38:00,2025-01-21T17:00:22.795427,22.38,0,10.4
R0081,move,B,2025-02-22T17:36:00,2025-02-22T18:06:34.971079,30.58,0,7.69
R0047,move,B,2025-02-23T14:54:00,2025-02-23T15:22:25.736618,28.43,0,11.56
R0072,pick,A,2025-03-05T03:40:00,2025-03-05T04:13:02.270059,33.04,0,8.96
R0096,pick,A,2025-01-09T08:34:00,2025-01-09T08:55:33.132832,21.55,0,13.97
R0071,pick,A,2025-02-13T06:54:00,2025-02-13T07:24:53.953626,30.9,0,11.33
R0022,pick,B,2025-02-25T02:43:00,2025-02-25T03:03:59.352874,20.99,0,10.4
R0028,move,B,2025-03-02T13:11:00,2025-03-02T13:34:06.299147,23.1,0,13.06
R0002,move,A,2025-01-12T04:53:00,2025-01-12T05:16:24.195633,23.4,0,11.55
R0019,pick,B,2025-02-12T07:41:00,2025-02-12T08:12:40.508600,31.68,0,12.44
R0088,move,B,2025-02-22T01:44:00,2025-02-22T02:09:57.489037,25.96,0,12.47
R0098,place,A,2025-01-21T12:57:00,2025-01-21T13:31:05.545420,34.09,0,12.27
R0079,move,B,2025-02-22T06:12:00,2025-02-22T06:42:00.592728,30.01,1,10.77
R0041,move,B,2025-01-28T14:08:00,2025-01-28T14:41:04.848748,33.08,0,11.04
R0099,place,A,2025-03-04T00:53:00,2025-03-04T01:15:58.452023,22.97,0,13.0
R0039,pick,A,2025-02-17T13:38:00,2025-02-17T14:02:47.254538,24.79,0,14.56
R0096,place,A,2025-01-25T17:47:00,2025-01-25T18:19:03.771119,32.06,0,8.14
R0011,pick,A,2025-02-16T03:30:00,2025-02-16T04:04:20.329507,34.34,0,12.57
R0004,pick,A,2025-01-24T00:00:00,2025-01-24T00:33:34.019877,33.57,0,12.09
R0086,place,B,2025-03-08T16:07:00,2025-03-08T16:40:30.256157,33.5,0,9.83
R0095,place,A,2025-03-07T07:24:00,2025-03-07T07:58:35.948253,34.6,1,12.63
R0097,pick,B,2025-03-01T01:48:00,2025-03-01T02:08:25.908512,20.43,0,7.68
R0094,move,A,2025-01-01T11:36:00,2025-01-01T12:04:29.891854,28.5,0,10.39
R0016,move,A,2025-02-15T17:51:00,2025-02-15T18:11:19.896510,20.33,0,9.59
R0089,move,A,2025-01-23T09:10:00,2025-01-23T09:39:10.283084,29.17,0,10.35
R0053,place,B,2025-03-03T06:12:00,2025-03-03T06:50:23.625144,38.39,0,9.87
R0096,pick,B,2025-01-22T00:27:00,2025-01-22T01:00:15.117787,33.25,0,14.44
R0074,place,A,2025-01-11T05:48:00,2025-01-11T06:15:24.739905,27.41,0,10.8
R0058,pick,B,2025-01-22T17:27:00,2025-01-22T17:52:46.088357,25.77,0,10.86
R0082,pick,B,2025-02-22T19:49:00,2025-02-22T20:15:19.182198,26.32,0,8.85
R0004,place,B,2025-01-07T07:43:00,2025-01-07T08:12:32.777019,29.55,0,10.45
R0034,place,A,2025-02-23T10:09:00,2025-02-23T10:50:47.212910,41.79,0,13.88
R0058,move,A,2025-02-10T01:16:00,2025-02-10T01:44:11.239492,28.19,0,13.17
R0032,place,B,2025-03-04T19:22:00,2025-03-04T19:52:26.744758,30.45,0,13.37
R0018,place,A,2025-01-28T11:44:00,2025-01-28T12:05:15.435905,21.26,0,9.49
R0096,pick,B,2025-01-04T10:35:00,2025-01-04T10:59:12.954625,24.22,0,11.18
R0037,move,B,2025-02-15T12:22:00,2025-02-15T12:34:20.181616,12.34,0,9.46
R0046,move,B,2025-01-18T14:31:00,2025-01-18T15:04:57.446197,33.96,0,8.94
R0089,move,A,2025-01-30T03:58:00,2025-01-30T04:29:12.006821,31.2,0,12.61
R0090,place,B,2025-02-24T20:57:00,2025-02-24T21:26:49.516750,29.83,0,12.63
R0060,move,B,2025-02-07T13:37:00,2025-02-07T14:09:32.300623,32.54,0,14.26
R0061,pick,A,2025-03-11T08:21:00,2025-03-11T08:49:08.902989,28.15,0,10.33
R0081,place,A,2025-01-17T18:05:00,2025-01-17T18:37:05.475766,32.09,0,12.8
R0007,place,A,2025-01-04T16:12:00,2025-01-04T16:46:05.325809,34.09,1,9.02
R0088,pick,B,2025-03-06T05:35:00,2025-03-06T06:06:23.392153,31.39,0,8.5
R0089,pick,B,2025-02-21T21:25:00,2025-02-21T21:54:11.976748,29.2,0,10.4
R0009,move,B,2025-01-18T21:45:00,2025-01-18T22:18:26.425125,33.44,0,8.32
R0060,move,A,2025-02-14T06:31:00,2025-02-14T07:01:52.663749,30.88,0,12.82
R0043,move,A,2025-01-11T00:36:00,2025-01-11T01:04:11.112816,28.19,0,12.35
R0007,pick,A,2025-03-05T16:50:00,2025-03-05T17:17:35.960440,27.6,0,12.26
R0094,place,B,2025-01-31T02:08:00,2025-01-31T02:37:39.117612,29.65,0,10.15
R0068,move,A,2025-02-11T15:16:00,2025-02-11T15:45:20.688478,29.34,0,7.93
R0046,move,B,2025-01-22T08:55:00,2025-01-22T09:15:20.731741,20.35,1,10.39
R0027,place,A,2025-03-05T10:13:00,2025-03-05T10:36:51.039187,23.85,0,11.64
R0055,move,B,2025-02-01T01:45:00,2025-02-01T02:18:02.900361,33.05,0,13.82
R0032,move,B,2025-01-07T17:20:00,2025-01-07T17:46:59.948550,27.0,0,8.91
R0058,move,A,2025-02-21T20:28:00,2025-02-21T20:51:51.822066,23.86,0,15.32
R0035,pick,B,2025-03-09T14:09:00,2025-03-09T14:41:02.429905,32.04,0,10.79
R0030,pick,A,2025-02-12T18:51:00,2025-02-12T19:21:22.261864,30.37,0,11.54
R0093,pick,B,2025-02-20T23:14:00,2025-02-20T23:44:16.485489,30.27,0,11.14
R0090,move,B,2025-02-26T19:53:00,2025-02-26T20:24:11.083196,31.18,0,12.65
R0042,move,B,2025-02-03T21:36:00,2025-02-03T21:59:45.020430,23.75,0,11.85
R0094,place,B,2025-01-24T14:22:00,2025-01-24T14:55:37.284477,33.62,0,12.18
R0001,pick,A,2025-01-15T01:53:00,2025-01-15T02:24:52.493382,31.87,0,10.49
